#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D813
#Date Time: 2023-06-14 16:51:42.610
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-9.519630872483229e-07,0.006451351655170888,0.02479346609537227
-9.419630872483213e-07,0.004781379486778049,0.00991067751733847
-9.319630872483197e-07,0.008121323823562664,0.02479346609536719
-9.219630872483249e-07,0.005783362787814815,0.013631374661852
-9.119630872483233e-07,0.005115373920456617,0.01735207180635537
-9.019630872483217e-07,0.005449368354135184,0.04339695181791451
-8.919630872483201e-07,0.005115373920456617,0.002469283228321573
-8.819630872483253e-07,0.006785346088848697,0.03223486038437563
-8.719630872483237e-07,0.006451351655170888,0.01363137466184692
-8.619630872483221e-07,0.004781379486778049,0.03595555752889761
-8.519630872483205e-07,0.004113390619420913,0.03967625467340606
-8.419630872483189e-07,0.005115373920457376,0.009910677517345238
-8.319630872483241e-07,0.006785346088849456,0.02479346609537227
-8.219630872483225e-07,0.005115373920456617,0.02851416323988071
-8.119630872483209e-07,0.00611735722149232,0.00991067751733847
-8.019630872483193e-07,0.00511537392045692,0.03967625467338745
-7.919630872483245e-07,0.005783362787813448,-0.001251413916168266
-7.819630872483229e-07,0.006451351655170888,0.05083834610693141
-7.719630872483213e-07,0.004447385053099481,0.02107276895086382
-7.619630872483197e-07,0.005783362787812537,0.01735207180636383
-7.519630872483249e-07,0.003111407318386424,0.03595555752888915
-7.419630872483233e-07,0.004781379486778049,0.006189980372830022
-7.319630872483217e-07,0.005115373920456617,0.03223486038438916
-7.219630872483201e-07,0.004447385053099481,0.02851416323988071
-7.119630872483252e-07,0.005115373920456313,0.009910677517346929
-7.019630872483236e-07,0.006451351655170888,0.04711764896242296
-6.91963087248322e-07,0.004113390619420913,-0.004972111060695325
-6.819630872483204e-07,0.005783362787813752,0.03595555752889761
-6.719630872483188e-07,0.002443418451028985,0.013631374661852
-6.61963087248324e-07,0.004447385053099481,0.02479346609537227
-6.519630872483224e-07,0.005115373920456617,0.03223486038438916
-6.419630872483208e-07,0.005115373920456617,0.00991067751733847
-6.319630872483192e-07,0.004447385053100241,0.0322348603843807
-6.219630872483244e-07,0.006117357221491562,0.01363137466185538
-6.119630872483228e-07,0.004447385053099481,0.02479346609537227
-6.019630872483212e-07,0.004447385053099481,0.03967625467340606
-5.919630872483196e-07,0.003779396185743256,0.009910677517350315
-5.819630872483248e-07,0.005783362787812841,0.03595555752888577
-5.719630872483232e-07,0.005115373920456617,0.006189980372830022
-5.619630872483216e-07,0.005115373920456617,0.00991067751733847
-5.5196308724832e-07,0.005115373920456617,0.03967625467340606
-5.419630872483252e-07,0.006117357221491865,0.00246928322833849
-5.319630872483236e-07,0.006785346088849456,0.05083834610693141
-5.21963087248322e-07,0.005115373920456617,0.02479346609537227
-5.119630872483204e-07,0.005449368354135184,0.03223486038438916
-5.019630872483188e-07,0.002777412884707856,0.06200043754042969
-4.91963087248324e-07,0.005449368354135184,0.002469283228321573
-4.819630872483224e-07,0.00611735722149232,0.03595555752889761
-4.719630872483208e-07,0.004781379486778049,0.02107276895086382
-4.619630872483192e-07,0.004447385053099937,0.01363137466184861
-4.519630872483243e-07,0.005449368354135184,0.01735207180635537
-4.419630872483227e-07,0.005783362787813752,-0.004972111060695325
-4.319630872483211e-07,0.006451351655170888,0.02479346609537227
-4.219630872483195e-07,0.005783362787813904,0.00991067751733847
-4.119630872483247e-07,0.006117357221492169,0.00991067751733847
-4.019630872483231e-07,0.004447385053099481,0.05083834610693141
-3.919630872483215e-07,0.005449368354135184,-0.01241350534971222
-3.819630872483199e-07,0.004447385053099481,0.04339695181791451
-3.719630872483251e-07,0.007119340522526809,0.01363137466186045
-3.619630872483235e-07,0.006785346088849456,0.00991067751733847
-3.519630872483219e-07,0.004781379486778049,0.03223486038438916
-3.419630872483203e-07,0.005783362787813752,0.006189980372830022
-3.319630872483187e-07,0.007119340522527113,0.02479346609537396
-3.219630872483239e-07,0.005115373920456617,0.02851416323988071
-3.119630872483223e-07,0.006451351655170888,0.002469283228321573
-3.019630872483207e-07,0.007119340522528024,0.05083834610693141
-2.919630872483191e-07,0.004781379486779112,-0.001251413916171648
-2.819630872483243e-07,0.007119340522528024,0.03223486038438916
-2.719630872483227e-07,0.00611735722149232,0.02479346609537227
-2.619630872483211e-07,0.005783362787813752,0.01363137466184692
-2.519630872483195e-07,0.005783362787814207,0.035955557528879
-2.419630872483247e-07,0.006785346088849,-0.004972111060676715
-2.319630872483231e-07,0.00778732938988516,0.02479346609537227
-2.219630872483215e-07,0.006785346088849456,0.02107276895086382
-2.119630872483199e-07,0.007453334956206592,0.00991067751733847
-2.01963087248325e-07,0.006785346088849759,0.03967625467339253
-1.919630872483234e-07,0.008455318257242295,0.00991067751733847
-1.819630872483218e-07,0.005783362787813752,0.03967625467340606
-1.719630872483202e-07,0.007119340522528024,0.02107276895086382
-1.619630872483254e-07,0.007119340522528024,0.01735207180635706
-1.519630872483238e-07,0.006785346088849456,0.05827974039594831
-1.419630872483222e-07,0.006451351655170888,0.002469283228321573
-1.319630872483206e-07,0.008121323823563727,0.04339695181791451
-1.21963087248319e-07,0.007787329389884856,0.0136313746618503
