#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D813
#Date Time: 2023-06-13 13:58:37.589
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-9.532510288065834e-07,0.00778732938988516,0.01735207180635537
-9.432510288065818e-07,0.009123307124599432,-0.01985489963872912
-9.332510288065802e-07,0.008789312690920863,0.0508383461069111
-9.232510288065854e-07,0.008789312690920863,0.006189980372850325
-9.132510288065838e-07,0.00778732938988516,0.02107276895086382
-9.032510288065822e-07,0.007453334956206592,0.01735207180635537
-8.932510288065806e-07,0.008789312690920863,-0.004972111060695325
-8.832510288065857e-07,0.008789312690920863,0.035955557528879
-8.732510288065841e-07,0.008455318257242295,-0.001251413916186876
-8.632510288065825e-07,0.00778732938988516,0.02479346609537227
-8.532510288065809e-07,0.008121323823563727,0.03967625467340606
-8.432510288065793e-07,0.008455318257242599,-0.01985489963870543
-8.332510288065845e-07,0.009123307124599432,0.03223486038438916
-8.232510288065829e-07,0.00778732938988516,-0.008692808205203774
-8.132510288065813e-07,0.00778732938988516,0.02107276895086382
-8.032510288065797e-07,0.008455318257241991,0.02851416323986549
-7.932510288065849e-07,0.007787329389885463,-0.004972111060680094
-7.832510288065833e-07,0.01012529042563514,0.04339695181791451
-7.732510288065817e-07,0.006785346088849456,-0.008692808205203774
-7.632510288065801e-07,0.009457301558277544,0.01363137466185369
-7.532510288065853e-07,0.008455318257242751,0.02851416323987395
-7.432510288065837e-07,0.00778732938988516,0.002469283228321573
-7.332510288065821e-07,0.008789312690920863,0.03223486038438916
-7.232510288065805e-07,0.00778732938988516,0.006189980372830022
-7.132510288065857e-07,0.008455318257241991,0.03967625467339083
-7.032510288065841e-07,0.00611735722149232,0.01735207180635537
-6.932510288065825e-07,0.008455318257242295,0.006189980372830022
-6.832510288065809e-07,0.008455318257242295,0.02851416323988071
-6.732510288065793e-07,0.006451351655171648,0.00618998037283679
-6.632510288065845e-07,0.008121323823563727,0.02107276895086382
-6.532510288065829e-07,0.006785346088849456,0.02479346609537227
-6.432510288065813e-07,0.008121323823563727,-0.01613420249422067
-6.332510288065797e-07,0.008455318257241839,0.03967625467339083
-6.232510288065848e-07,0.007453334956207047,0.006189980372845252
-6.132510288065832e-07,0.007453334956206592,0.02107276895086382
-6.032510288065816e-07,0.005449368354135184,0.02851416323988071
-5.9325102880658e-07,0.007453334956207352,-0.001251413916169956
-5.832510288065852e-07,0.009123307124598672,0.0359555575288807
-5.732510288065836e-07,0.007453334956206592,0.02107276895086382
-5.63251028806582e-07,0.007453334956206592,0.02479346609537227
-5.532510288065804e-07,0.006451351655170888,0.01363137466184692
-5.432510288065856e-07,0.008789312690919799,0.002469283228326648
-5.33251028806584e-07,0.008121323823563727,0.03967625467340606
-5.232510288065824e-07,0.008121323823563727,0.02479346609537227
-5.132510288065808e-07,0.008789312690920863,0.03595555752889761
-5.032510288065792e-07,0.008121323823564031,0.02851416323986718
-4.932510288065844e-07,0.008789312690920863,-0.001251413916186876
-4.832510288065828e-07,0.00778732938988516,0.03595555752889761
-4.732510288065812e-07,0.006451351655170888,0.01363137466184692
-4.632510288065796e-07,0.0077873293898844,0.03223486038438747
-4.532510288065848e-07,0.00611735722149232,0.02851416323988071
-4.432510288065832e-07,0.006785346088849456,-0.004972111060695325
-4.332510288065816e-07,0.007119340522528024,0.03595555752889761
-4.2325102880658e-07,0.005783362787813752,0.02479346609538072
-4.132510288065852e-07,0.005783362787813752,0.04339695181790605
-4.032510288065836e-07,0.005783362787813752,0.02851416323988071
-3.93251028806582e-07,0.00778732938988516,-0.004972111060695325
-3.832510288065804e-07,0.007119340522528024,0.06572113468496521
-3.732510288065855e-07,0.005783362787814359,0.009910677517363853
-3.632510288065839e-07,0.008789312690920863,0.01735207180635537
-3.532510288065823e-07,0.005783362787813752,0.03595555752889761
-3.432510288065807e-07,0.007453334956206592,0.00991067751733847
-3.332510288065791e-07,0.006785346088849456,0.03967625467339083
-3.232510288065843e-07,0.006785346088849456,0.006189980372830022
-3.132510288065827e-07,0.008121323823563727,0.03595555752889761
-3.032510288065811e-07,0.006785346088849456,0.03967625467340606
-2.932510288065795e-07,0.006785346088850216,-0.001251413916175032
-2.832510288065847e-07,0.008455318257242295,0.02479346609537227
-2.732510288065831e-07,0.006785346088849456,0.00991067751733847
-2.632510288065815e-07,0.005783362787813752,0.03595555752889761
-2.532510288065799e-07,0.006785346088850216,0.03223486038437732
-2.432510288065851e-07,0.008455318257241535,0.006189980372841866
-2.332510288065835e-07,0.008789312690920863,0.05083834610693141
-2.232510288065819e-07,0.007119340522528024,0.01363137466184692
-2.132510288065803e-07,0.00778732938988516,0.03595555752889761
-2.032510288065855e-07,0.006785346088849911,0.03223486038439086
-1.932510288065839e-07,0.00778732938988516,0.01735207180635537
-1.832510288065823e-07,0.006785346088849456,0.05083834610693141
-1.732510288065807e-07,0.007119340522528024,0.00991067751733847
-1.632510288065859e-07,0.007119340522528024,0.0247934660953655
-1.532510288065843e-07,0.006451351655170888,0.05083834610693141
-1.432510288065827e-07,0.00778732938988516,0.002469283228321573
-1.332510288065811e-07,0.006785346088849456,0.04339695181791451
-1.232510288065795e-07,0.007453334956206592,0.009910677517352006
