#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D813
#Date Time: 2023-07-18 15:05:32.080
#Sample rate: 1e+08Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-1.595275067750677e-05,0.00611735722149232,0.03223486038438916
-1.594275067750677e-05,0.007119340522528024,-0.03101699107225447
-1.593275067750677e-05,0.00979129599195596,0.02479346609535366
-1.592275067750678e-05,0.008455318257242902,-0.01613420249420206
-1.591275067750677e-05,0.006785346088849456,0.02851416323988071
-1.590275067750677e-05,0.008455318257242295,0.02479346609537227
-1.589275067750677e-05,0.008121323823563727,-0.001251413916186876
-1.588275067750678e-05,0.007787329389885311,0.0359555575288807
-1.587275067750678e-05,0.005783362787813752,0.002469283228321573
-1.586275067750677e-05,0.005783362787813752,0.01363137466184692
-1.585275067750677e-05,0.008789312690920863,0.002469283228321573
-1.584275067750677e-05,0.009123307124600192,-0.02729629392772233
-1.583275067750678e-05,0.01079327929299227,0.02479346609537227
-1.582275067750677e-05,0.0104592848593137,-0.001251413916186876
-1.581275067750677e-05,0.008789312690920863,0.02107276895086382
-1.580275067750677e-05,0.006785346088849,0.02851416323986718
-1.579275067750678e-05,0.005783362787814207,-0.001251413916173342
-1.578275067750677e-05,0.008121323823563727,0.05455904325143986
-1.577275067750677e-05,0.006785346088849456,-0.001251413916186876
-1.576275067750677e-05,0.008455318257241839,0.02107276895085536
-1.575275067750678e-05,0.007453334956207047,0.002469283228330031
-1.574275067750677e-05,0.009123307124599432,-0.01241350534971222
-1.573275067750677e-05,0.009457301558278,0.002469283228321573
-1.572275067750677e-05,0.009457301558278,0.01363137466184692
-1.571275067750678e-05,0.008455318257242751,0.01735207180635367
-1.570275067750678e-05,0.008455318257242295,0.03967625467340606
-1.569275067750677e-05,0.006785346088849456,0.00991067751733847
-1.568275067750677e-05,0.00778732938988516,0.03967625467340606
-1.567275067750677e-05,0.00711934052252848,0.01735207180636044
-1.566275067750678e-05,0.008121323823563727,0.02851416323988071
-1.565275067750677e-05,0.006451351655170888,0.03223486038438916
-1.564275067750677e-05,0.008789312690920863,-0.01241350534971222
-1.563275067750677e-05,0.0107932792929909,0.03223486038436886
-1.562275067750678e-05,0.007787329389886527,-0.01241350534969192
-1.561275067750677e-05,0.008455318257242295,0.03595555752889761
-1.560275067750677e-05,0.008455318257242295,0.002469283228321573
-1.559275067750677e-05,0.009457301558277544,0.01363137466186046
-1.558275067750678e-05,0.008455318257242751,0.04339695181790097
-1.557275067750677e-05,0.006785346088849456,0.01363137466184692
-1.556275067750677e-05,0.00778732938988516,0.03967625467340606
-1.555275067750677e-05,0.006451351655170888,0.04339695181791451
-1.554275067750678e-05,0.006785346088849304,-0.001251413916166573
-1.553275067750678e-05,0.007453334956206592,0.05083834610693141
-1.552275067750677e-05,0.007119340522528024,-0.008692808205203774
-1.551275067750677e-05,0.005449368354135184,0.01735207180635537
-1.550275067750677e-05,0.007453334956206744,0.02107276895085874
-1.549275067750678e-05,0.00778732938988516,0.00991067751733847
-1.548275067750677e-05,0.007119340522528024,0.06200043754045675
-1.547275067750677e-05,0.007119340522528024,-0.008692808205203774
-1.546275067750677e-05,0.006451351655171344,0.02851416323987226
-1.545275067750678e-05,0.007453334956206592,0.00991067751733847
-1.544275067750677e-05,0.006785346088849456,-0.001251413916186876
-1.543275067750677e-05,0.009457301558278,0.006189980372830022
-1.542275067750677e-05,0.007119340522527873,0.006189980372846941
-1.541275067750678e-05,0.006785346088849608,0.04339695181789759
-1.540275067750677e-05,0.005449368354135184,0.03223486038438916
-1.539275067750677e-05,0.007453334956206592,-0.01241350534971222
-1.538275067750677e-05,0.008455318257242295,0.04711764896242296
-1.537275067750678e-05,0.006785346088850215,-0.008692808205178391
-1.536275067750677e-05,0.006785346088849456,0.03223486038438916
-1.535275067750677e-05,0.006451351655170888,0.01363137466184692
-1.534275067750677e-05,0.007453334956206592,-0.004972111060695325
-1.533275067750677e-05,0.007453334956206288,0.02851416323987733
-1.532275067750678e-05,0.006785346088849456,0.02107276895086382
-1.531275067750677e-05,0.006785346088849456,0.01363137466184692
-1.530275067750677e-05,0.006451351655170888,0.01735207180635537
-1.529275067750677e-05,0.007453334956207199,-0.004972111060676713
-1.528275067750678e-05,0.008789312690920863,0.03595555752889761
-1.527275067750677e-05,0.01012529042563514,-0.001251413916186876
-1.526275067750677e-05,0.007119340522528024,0.01363137466184692
-1.525275067750677e-05,0.008455318257242448,0.03223486038436717
-1.524275067750678e-05,0.00878931269092071,-0.01613420249419868
-1.523275067750677e-05,0.008455318257242295,0.03967625467340606
-1.522275067750677e-05,0.00778732938988516,-0.001251413916186876
-1.521275067750677e-05,0.006451351655170888,0.00991067751733847
-1.520275067750678e-05,0.009123307124598218,0.02107276895085874
-1.519275067750677e-05,0.00778732938988516,-0.001251413916186876
-1.518275067750677e-05,0.008789312690920863,0.01735207180635537
-1.517275067750677e-05,0.006451351655170888,0.00991067751733847
-1.516275067750678e-05,0.008455318257241384,0.006189980372831713
-1.515275067750678e-05,0.006785346088849456,0.01735207180635537
-1.514275067750677e-05,0.009123307124599432,-0.01613420249422067
-1.513275067750677e-05,0.007119340522528024,0.03223486038438916
